TransactionID,Date,CustomerID,CustomerName,ProductID,ProductName,ProductCategory,Quantity,UnitPrice,DiscountPercent,CostPerUnit,Revenue,Cost,Profit,InvoiceDate,PaymentDate,TermsDays,Status
10024,2025-01-10,CUST003,Apex Tech Solutions,PROD005,Premium Consulting Hour,Services,7,200.0,0.0604,120.0,1315.38,840.0,475.38,2025-01-10,2025-03-10,30,Paid
10025,2025-01-11,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,36,200.0,0.0695,120.0,6699.75,4320.0,2379.75,2025-01-11,2025-02-16,30,Paid
10026,2025-01-11,CUST005,Omega Distributors,PROD005,Premium Consulting Hour,Services,14,200.0,0.0633,120.0,2622.65,1680.0,942.65,2025-01-11,2025-02-10,30,Paid
10027,2025-01-12,CUST004,Zeta Enterprises,PROD004,Enterprise Service License,Software,4,500.0,0.0893,150.0,1821.49,600.0,1221.49,2025-01-12,2025-03-03,45,Paid
10028,2025-01-12,CUST001,Acme Industrial Corp,PROD004,Enterprise Service License,Software,16,500.0,0.0907,150.0,7274.54,2400.0,4874.54,2025-01-12,2025-02-06,30,Paid
10029,2025-01-12,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,22,150.0,0.0861,90.0,3015.96,1980.0,1035.96,2025-01-12,2025-02-12,30,Paid
10030,2025-01-13,CUST003,Apex Tech Solutions,PROD001,High-Performance Widget,Hardware,14,150.0,0.0222,90.0,2053.36,1260.0,793.36,2025-01-13,2025-03-22,30,Paid
10031,2025-01-13,CUST005,Omega Distributors,PROD001,High-Performance Widget,Hardware,4,150.0,0.0364,90.0,578.18,360.0,218.18,2025-01-13,2025-02-07,30,Paid
10032,2025-01-13,CUST001,Acme Industrial Corp,PROD004,Enterprise Service License,Software,16,500.0,0.0497,150.0,7602.2,2400.0,5202.2,2025-01-13,2025-02-07,30,Paid
10033,2025-01-13,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,26,150.0,0.0977,90.0,3519.12,2340.0,1179.12,2025-01-13,2025-02-18,30,Paid
10034,2025-01-13,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,10,200.0,0.024,120.0,1952.09,1200.0,752.09,2025-01-13,2025-02-08,30,Paid
10035,2025-01-14,CUST002,Beta Retailers,PROD004,Enterprise Service License,Software,7,500.0,0.0762,150.0,3233.43,1050.0,2183.43,2025-01-14,2025-02-03,15,Paid
10036,2025-01-14,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,11,200.0,0.0634,120.0,2060.62,1320.0,740.62,2025-01-14,2025-02-18,30,Paid
10037,2025-01-14,CUST004,Zeta Enterprises,PROD001,High-Performance Widget,Hardware,9,150.0,0.0321,90.0,1306.69,810.0,496.69,2025-01-14,2025-02-28,45,Paid
10038,2025-01-14,CUST003,Apex Tech Solutions,PROD003,Low-Margin Bulk Connector,Hardware,4,10.0,0.0326,9.5,38.7,38.0,0.7,2025-01-14,2025-04-04,30,Paid
10039,2025-01-15,CUST004,Zeta Enterprises,PROD003,Low-Margin Bulk Connector,Hardware,4,10.0,0.0645,9.5,37.42,38.0,-0.58,2025-01-15,2025-02-27,45,Paid
10040,2025-01-15,CUST005,Omega Distributors,PROD002,Standard Gear Assembly,Hardware,8,80.0,0.0138,45.0,631.2,360.0,271.2,2025-01-15,2025-02-20,30,Paid
10041,2025-01-18,CUST005,Omega Distributors,PROD002,Standard Gear Assembly,Hardware,3,80.0,0.0229,45.0,234.51,135.0,99.51,2025-01-18,2025-02-21,30,Paid
10042,2025-01-20,CUST003,Apex Tech Solutions,PROD002,Standard Gear Assembly,Hardware,1,80.0,0.0093,45.0,79.26,45.0,34.26,2025-01-20,2025-03-17,30,Paid
10043,2025-01-20,CUST003,Apex Tech Solutions,PROD003,Low-Margin Bulk Connector,Hardware,7,10.0,0.0339,9.5,67.63,66.5,1.13,2025-01-20,2025-04-09,30,Paid
10044,2025-01-20,CUST004,Zeta Enterprises,PROD003,Low-Margin Bulk Connector,Hardware,4,10.0,0.0887,9.5,36.45,38.0,-1.55,2025-01-20,2025-03-08,45,Paid
10045,2025-01-22,CUST001,Acme Industrial Corp,PROD004,Enterprise Service License,Software,17,500.0,0.0606,150.0,7984.54,2550.0,5434.54,2025-01-22,2025-02-18,30,Paid
10046,2025-01-22,CUST002,Beta Retailers,PROD001,High-Performance Widget,Hardware,3,150.0,0.0974,90.0,406.19,270.0,136.19,2025-01-22,2025-02-02,15,Paid
10047,2025-01-22,CUST001,Acme Industrial Corp,PROD002,Standard Gear Assembly,Hardware,31,80.0,0.0448,45.0,2368.79,1395.0,973.79,2025-01-22,2025-02-28,30,Paid
10048,2025-01-24,CUST004,Zeta Enterprises,PROD001,High-Performance Widget,Hardware,14,150.0,0.0325,90.0,2031.67,1260.0,771.67,2025-01-24,2025-03-08,45,Paid
10049,2025-01-24,CUST002,Beta Retailers,PROD003,Low-Margin Bulk Connector,Hardware,1,10.0,0.0308,9.5,9.69,9.5,0.19,2025-01-24,2025-02-14,15,Paid
10050,2025-01-24,CUST003,Apex Tech Solutions,PROD005,Premium Consulting Hour,Services,3,200.0,0.0892,120.0,546.48,360.0,186.48,2025-01-24,2025-04-05,30,Paid
10051,2025-01-25,CUST004,Zeta Enterprises,PROD001,High-Performance Widget,Hardware,12,150.0,0.0669,90.0,1679.59,1080.0,599.59,2025-01-25,2025-03-06,45,Paid
10052,2025-01-25,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,13,200.0,0.0024,120.0,2593.68,1560.0,1033.68,2025-01-25,2025-02-19,30,Paid
10053,2025-01-27,CUST005,Omega Distributors,PROD005,Premium Consulting Hour,Services,14,200.0,0.0915,120.0,2543.84,1680.0,863.84,2025-01-27,2025-02-23,30,Paid
10054,2025-01-27,CUST004,Zeta Enterprises,PROD005,Premium Consulting Hour,Services,8,200.0,0.0331,120.0,1547.08,960.0,587.08,2025-01-27,2025-03-21,45,Paid
10055,2025-01-27,CUST005,Omega Distributors,PROD003,Low-Margin Bulk Connector,Hardware,12,10.0,0.0853,9.5,109.76,114.0,-4.24,2025-01-27,2025-03-07,30,Paid
10056,2025-01-28,CUST002,Beta Retailers,PROD001,High-Performance Widget,Hardware,3,150.0,0.0169,90.0,442.37,270.0,172.37,2025-01-28,2025-02-15,15,Paid
10057,2025-01-28,CUST002,Beta Retailers,PROD002,Standard Gear Assembly,Hardware,3,80.0,0.057,45.0,226.32,135.0,91.32,2025-01-28,2025-02-14,15,Paid
10058,2025-01-28,CUST001,Acme Industrial Corp,PROD002,Standard Gear Assembly,Hardware,19,80.0,0.0877,45.0,1386.64,855.0,531.64,2025-01-28,2025-02-22,30,Paid
10059,2025-01-28,CUST004,Zeta Enterprises,PROD001,High-Performance Widget,Hardware,11,150.0,0.0709,90.0,1533.03,990.0,543.03,2025-01-28,2025-03-15,45,Paid
10060,2025-01-29,CUST001,Acme Industrial Corp,PROD002,Standard Gear Assembly,Hardware,27,80.0,0.0867,45.0,1972.71,1215.0,757.71,2025-01-29,2025-03-07,30,Paid
10061,2025-01-29,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,22,150.0,0.0194,90.0,3235.89,1980.0,1255.89,2025-01-29,2025-03-02,30,Paid
10062,2025-01-29,CUST004,Zeta Enterprises,PROD004,Enterprise Service License,Software,3,500.0,0.0338,150.0,1449.3,450.0,999.3,2025-01-29,2025-03-21,45,Paid
10063,2025-01-29,CUST003,Apex Tech Solutions,PROD003,Low-Margin Bulk Connector,Hardware,9,10.0,0.0155,9.5,88.6,85.5,3.1,2025-01-29,2025-04-05,30,Paid
10064,2025-01-30,CUST005,Omega Distributors,PROD001,High-Performance Widget,Hardware,4,150.0,0.0039,90.0,597.67,360.0,237.67,2025-01-30,2025-03-10,30,Paid
10065,2025-01-31,CUST003,Apex Tech Solutions,PROD005,Premium Consulting Hour,Services,1,200.0,0.0828,120.0,183.44,120.0,63.44,2025-01-31,2025-03-21,30,Paid
10066,2025-01-31,CUST002,Beta Retailers,PROD005,Premium Consulting Hour,Services,4,200.0,0.0411,120.0,767.09,480.0,287.09,2025-01-31,2025-02-12,15,Paid
10067,2025-01-31,CUST003,Apex Tech Solutions,PROD004,Enterprise Service License,Software,13,500.0,0.097,150.0,5869.8,1950.0,3919.8,2025-01-31,2025-04-15,30,Paid
10068,2025-01-31,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,35,10.0,0.0078,9.5,347.25,332.5,14.75,2025-01-31,2025-03-01,30,Paid
10069,2025-01-31,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,30,150.0,0.0058,90.0,4473.81,2700.0,1773.81,2025-01-31,2025-03-06,30,Paid
10070,2025-02-02,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,22,150.0,0.028,90.0,3207.62,1980.0,1227.62,2025-02-02,2025-03-11,30,Paid
10071,2025-02-03,CUST003,Apex Tech Solutions,PROD003,Low-Margin Bulk Connector,Hardware,12,10.0,0.0566,9.5,113.21,114.0,-0.79,2025-02-03,2025-04-25,30,Paid
10072,2025-02-03,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,37,200.0,0.0046,120.0,7365.96,4440.0,2925.96,2025-02-03,2025-02-28,30,Paid
10073,2025-02-03,CUST001,Acme Industrial Corp,PROD004,Enterprise Service License,Software,21,500.0,0.0017,150.0,10481.98,3150.0,7331.98,2025-02-03,2025-03-09,30,Paid
10074,2025-02-03,CUST002,Beta Retailers,PROD004,Enterprise Service License,Software,1,500.0,0.0465,150.0,476.77,150.0,326.77,2025-02-03,2025-02-17,15,Paid
10075,2025-02-04,CUST003,Apex Tech Solutions,PROD005,Premium Consulting Hour,Services,4,200.0,0.0045,120.0,796.38,480.0,316.38,2025-02-04,2025-04-20,30,Paid
10076,2025-02-05,CUST003,Apex Tech Solutions,PROD002,Standard Gear Assembly,Hardware,1,80.0,0.0539,45.0,75.68,45.0,30.68,2025-02-05,2025-03-25,30,Paid
10077,2025-02-06,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,33,10.0,0.0677,9.5,307.65,313.5,-5.85,2025-02-06,2025-03-05,30,Paid
10078,2025-02-07,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,20,200.0,0.0941,120.0,3623.41,2400.0,1223.41,2025-02-07,2025-03-06,30,Paid
10079,2025-02-07,CUST004,Zeta Enterprises,PROD002,Standard Gear Assembly,Hardware,11,80.0,0.0196,45.0,862.77,495.0,367.77,2025-02-07,2025-03-31,45,Paid
10080,2025-02-07,CUST001,Acme Industrial Corp,PROD002,Standard Gear Assembly,Hardware,28,80.0,0.0618,45.0,2101.51,1260.0,841.51,2025-02-07,2025-03-10,30,Paid
10081,2025-02-09,CUST001,Acme Industrial Corp,PROD002,Standard Gear Assembly,Hardware,35,80.0,0.0341,45.0,2704.63,1575.0,1129.63,2025-02-09,2025-03-08,30,Paid
10082,2025-02-11,CUST003,Apex Tech Solutions,PROD002,Standard Gear Assembly,Hardware,13,80.0,0.0937,45.0,942.59,585.0,357.59,2025-02-11,2025-05-02,30,Paid
10083,2025-02-11,CUST002,Beta Retailers,PROD005,Premium Consulting Hour,Services,9,200.0,0.0548,120.0,1701.37,1080.0,621.37,2025-02-11,2025-02-25,15,Paid
10084,2025-02-11,CUST004,Zeta Enterprises,PROD003,Low-Margin Bulk Connector,Hardware,1,10.0,0.0732,9.5,9.27,9.5,-0.23,2025-02-11,2025-03-26,45,Paid
10085,2025-02-12,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,26,200.0,0.068,120.0,4846.48,3120.0,1726.48,2025-02-12,2025-03-15,30,Paid
10086,2025-02-14,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,39,150.0,0.0497,90.0,5559.51,3510.0,2049.51,2025-02-14,2025-03-19,30,Paid
10087,2025-02-14,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,26,10.0,0.0053,9.5,258.61,247.0,11.61,2025-02-14,2025-03-23,30,Paid
10088,2025-02-16,CUST001,Acme Industrial Corp,PROD004,Enterprise Service License,Software,29,500.0,0.0573,150.0,13668.52,4350.0,9318.52,2025-02-16,2025-03-27,30,Paid
10089,2025-02-16,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,21,200.0,0.0329,120.0,4061.96,2520.0,1541.96,2025-02-16,2025-03-23,30,Paid
10090,2025-02-17,CUST004,Zeta Enterprises,PROD001,High-Performance Widget,Hardware,7,150.0,0.0091,90.0,1040.42,630.0,410.42,2025-02-17,2025-04-07,45,Paid
10091,2025-02-17,CUST005,Omega Distributors,PROD002,Standard Gear Assembly,Hardware,5,80.0,0.0737,45.0,370.52,225.0,145.52,2025-02-17,2025-03-26,30,Paid
10092,2025-02-17,CUST002,Beta Retailers,PROD002,Standard Gear Assembly,Hardware,12,80.0,0.0688,45.0,893.95,540.0,353.95,2025-02-17,2025-03-08,15,Paid
10093,2025-02-17,CUST003,Apex Tech Solutions,PROD005,Premium Consulting Hour,Services,6,200.0,0.0084,120.0,1189.91,720.0,469.91,2025-02-17,2025-04-15,30,Paid
10094,2025-02-18,CUST002,Beta Retailers,PROD003,Low-Margin Bulk Connector,Hardware,10,10.0,0.0147,9.5,98.53,95.0,3.53,2025-02-18,2025-03-12,15,Paid
10095,2025-02-19,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,31,200.0,0.0813,120.0,5696.06,3720.0,1976.06,2025-02-19,2025-03-30,30,Paid
10096,2025-02-19,CUST005,Omega Distributors,PROD005,Premium Consulting Hour,Services,4,200.0,0.035,120.0,771.98,480.0,291.98,2025-02-19,2025-03-27,30,Paid
10097,2025-02-19,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,31,200.0,0.0705,120.0,5762.85,3720.0,2042.85,2025-02-19,2025-03-25,30,Paid
10098,2025-02-19,CUST005,Omega Distributors,PROD003,Low-Margin Bulk Connector,Hardware,13,10.0,0.0011,9.5,129.85,123.5,6.35,2025-02-19,2025-03-27,30,Paid
10099,2025-02-20,CUST001,Acme Industrial Corp,PROD004,Enterprise Service License,Software,38,500.0,0.0823,150.0,17436.7,5700.0,11736.7,2025-02-20,2025-03-23,30,Paid
10100,2025-02-20,CUST004,Zeta Enterprises,PROD005,Premium Consulting Hour,Services,12,200.0,0.0962,120.0,2169.08,1440.0,729.08,2025-02-20,2025-04-15,45,Paid
10101,2025-02-20,CUST002,Beta Retailers,PROD001,High-Performance Widget,Hardware,8,150.0,0.0528,90.0,1136.6,720.0,416.6,2025-02-20,2025-03-06,15,Paid
10102,2025-02-20,CUST005,Omega Distributors,PROD004,Enterprise Service License,Software,13,500.0,0.097,150.0,5869.58,1950.0,3919.58,2025-02-20,2025-03-29,30,Paid
10103,2025-02-20,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,37,200.0,0.0074,120.0,7345.39,4440.0,2905.39,2025-02-20,2025-03-19,30,Paid
10104,2025-02-21,CUST005,Omega Distributors,PROD002,Standard Gear Assembly,Hardware,9,80.0,0.0217,45.0,704.39,405.0,299.39,2025-02-21,2025-04-01,30,Paid
10105,2025-02-21,CUST002,Beta Retailers,PROD005,Premium Consulting Hour,Services,6,200.0,0.0584,120.0,1129.88,720.0,409.88,2025-02-21,2025-03-09,15,Paid
10106,2025-02-23,CUST001,Acme Industrial Corp,PROD004,Enterprise Service License,Software,37,500.0,0.0336,150.0,17879.03,5550.0,12329.03,2025-02-23,2025-03-29,30,Paid
10107,2025-02-23,CUST001,Acme Industrial Corp,PROD002,Standard Gear Assembly,Hardware,35,80.0,0.0229,45.0,2735.77,1575.0,1160.77,2025-02-23,2025-03-31,30,Paid
10108,2025-02-24,CUST002,Beta Retailers,PROD004,Enterprise Service License,Software,11,500.0,0.0698,150.0,5116.01,1650.0,3466.01,2025-02-24,2025-03-06,15,Paid
10109,2025-02-24,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,22,200.0,0.0685,120.0,4098.72,2640.0,1458.72,2025-02-24,2025-04-02,30,Paid
10110,2025-02-24,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,15,10.0,0.095,9.5,135.75,142.5,-6.75,2025-02-24,2025-03-25,30,Paid
10111,2025-02-26,CUST001,Acme Industrial Corp,PROD002,Standard Gear Assembly,Hardware,22,80.0,0.0165,45.0,1730.99,990.0,740.99,2025-02-26,2025-03-30,30,Paid
10112,2025-02-28,CUST004,Zeta Enterprises,PROD001,High-Performance Widget,Hardware,11,150.0,0.0594,90.0,1551.97,990.0,561.97,2025-02-28,2025-04-23,45,Paid
10113,2025-02-28,CUST002,Beta Retailers,PROD003,Low-Margin Bulk Connector,Hardware,11,10.0,0.0569,9.5,103.74,104.5,-0.76,2025-02-28,2025-03-10,15,Paid
10114,2025-02-28,CUST002,Beta Retailers,PROD003,Low-Margin Bulk Connector,Hardware,1,10.0,0.0014,9.5,9.99,9.5,0.49,2025-02-28,2025-03-16,15,Paid
10115,2025-02-28,CUST005,Omega Distributors,PROD001,High-Performance Widget,Hardware,5,150.0,0.1,90.0,675.02,450.0,225.02,2025-02-28,2025-03-30,30,Paid
10116,2025-02-28,CUST005,Omega Distributors,PROD005,Premium Consulting Hour,Services,5,200.0,0.0945,120.0,905.52,600.0,305.52,2025-02-28,2025-04-03,30,Paid
10117,2025-03-01,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,10,150.0,0.0954,90.0,1356.89,900.0,456.89,2025-03-01,2025-04-07,30,Paid
10118,2025-03-01,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,17,150.0,0.0618,90.0,2392.38,1530.0,862.38,2025-03-01,2025-04-06,30,Paid
10119,2025-03-02,CUST002,Beta Retailers,PROD003,Low-Margin Bulk Connector,Hardware,11,10.0,0.0308,9.5,106.61,104.5,2.11,2025-03-02,2025-03-12,15,Paid
10120,2025-03-03,CUST005,Omega Distributors,PROD003,Low-Margin Bulk Connector,Hardware,9,10.0,0.059,9.5,84.69,85.5,-0.81,2025-03-03,2025-04-11,30,Paid
10121,2025-03-03,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,23,200.0,0.0704,120.0,4276.12,2760.0,1516.12,2025-03-03,2025-03-30,30,Paid
10122,2025-03-03,CUST005,Omega Distributors,PROD004,Enterprise Service License,Software,2,500.0,0.0351,150.0,964.94,300.0,664.94,2025-03-03,2025-03-29,30,Paid
10123,2025-03-03,CUST003,Apex Tech Solutions,PROD003,Low-Margin Bulk Connector,Hardware,3,10.0,0.0904,9.5,27.29,28.5,-1.21,2025-03-03,2025-05-24,30,Paid
10124,2025-03-03,CUST002,Beta Retailers,PROD004,Enterprise Service License,Software,14,500.0,0.0622,150.0,6564.54,2100.0,4464.54,2025-03-03,2025-03-15,15,Paid
10125,2025-03-05,CUST004,Zeta Enterprises,PROD002,Standard Gear Assembly,Hardware,8,80.0,0.0842,45.0,586.11,360.0,226.11,2025-03-05,2025-04-14,45,Paid
10126,2025-03-05,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,15,200.0,0.0493,120.0,2852.21,1800.0,1052.21,2025-03-05,2025-04-11,30,Paid
10127,2025-03-05,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,28,10.0,0.0537,9.5,264.96,266.0,-1.04,2025-03-05,2025-04-05,30,Paid
10128,2025-03-05,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,25,10.0,0.0641,9.5,233.98,237.5,-3.52,2025-03-05,2025-04-06,30,Paid
10129,2025-03-06,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,36,10.0,0.0668,9.5,335.97,342.0,-6.03,2025-03-06,2025-04-01,30,Paid
10130,2025-03-06,CUST003,Apex Tech Solutions,PROD003,Low-Margin Bulk Connector,Hardware,3,10.0,0.0822,9.5,27.53,28.5,-0.97,2025-03-06,2025-05-07,30,Paid
10131,2025-03-06,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,30,200.0,0.0549,120.0,5670.77,3600.0,2070.77,2025-03-06,2025-04-04,30,Paid
10132,2025-03-08,CUST001,Acme Industrial Corp,PROD002,Standard Gear Assembly,Hardware,23,80.0,0.033,45.0,1779.26,1035.0,744.26,2025-03-08,2025-04-12,30,Paid
10133,2025-03-08,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,31,150.0,0.0082,90.0,4611.98,2790.0,1821.98,2025-03-08,2025-04-15,30,Paid
10134,2025-03-08,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,35,200.0,0.0868,120.0,6392.19,4200.0,2192.19,2025-03-08,2025-04-09,30,Paid
10135,2025-03-10,CUST001,Acme Industrial Corp,PROD002,Standard Gear Assembly,Hardware,32,80.0,0.0531,45.0,2424.0,1440.0,984.0,2025-03-10,2025-04-05,30,Paid
10136,2025-03-10,CUST004,Zeta Enterprises,PROD003,Low-Margin Bulk Connector,Hardware,8,10.0,0.0133,9.5,78.94,76.0,2.94,2025-03-10,2025-04-21,45,Paid
10137,2025-03-11,CUST004,Zeta Enterprises,PROD004,Enterprise Service License,Software,13,500.0,0.0867,150.0,5936.31,1950.0,3986.31,2025-03-11,2025-04-25,45,Paid
10138,2025-03-11,CUST003,Apex Tech Solutions,PROD001,High-Performance Widget,Hardware,7,150.0,0.0377,90.0,1010.39,630.0,380.39,2025-03-11,2025-05-04,30,Paid
10139,2025-03-11,CUST003,Apex Tech Solutions,PROD001,High-Performance Widget,Hardware,7,150.0,0.0089,90.0,1040.63,630.0,410.63,2025-03-11,2025-05-19,30,Paid
10140,2025-03-11,CUST005,Omega Distributors,PROD004,Enterprise Service License,Software,9,500.0,0.0679,150.0,4194.4,1350.0,2844.4,2025-03-11,2025-04-07,30,Paid
10141,2025-03-11,CUST003,Apex Tech Solutions,PROD002,Standard Gear Assembly,Hardware,4,80.0,0.0537,45.0,302.81,180.0,122.81,2025-03-11,2025-05-28,30,Paid
10142,2025-03-13,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,15,150.0,0.09,90.0,2047.58,1350.0,697.58,2025-03-13,2025-04-08,30,Paid
10143,2025-03-13,CUST001,Acme Industrial Corp,PROD003,Low-Margin Bulk Connector,Hardware,15,10.0,0.0606,9.5,140.91,142.5,-1.59,2025-03-13,2025-04-07,30,Paid
10144,2025-03-13,CUST001,Acme Industrial Corp,PROD005,Premium Consulting Hour,Services,15,200.0,0.0246,120.0,2926.21,1800.0,1126.21,2025-03-13,2025-04-10,30,Paid
10145,2025-03-14,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,12,150.0,0.0525,90.0,1705.59,1080.0,625.59,2025-03-14,2025-04-15,30,Paid
10146,2025-03-14,CUST003,Apex Tech Solutions,PROD002,Standard Gear Assembly,Hardware,4,80.0,0.0969,45.0,288.98,180.0,108.98,2025-03-14,2025-05-01,30,Paid
10147,2025-03-14,CUST001,Acme Industrial Corp,PROD001,High-Performance Widget,Hardware,33,150.0,0.0723,90.0,4592.17,2970.0,1622.17,2025-03-14,2025-04-21,30,Paid
