transaction_date,transaction_id,customer_id,product_name,quantity,revenue,cost,discount_percent,days_to_pay
2025-10-13,TXN-100028,CUST-074,Product K,253,45472.44,37697,25,20
2025-09-06,TXN-100029,CUST-013,Product M,247,167389.04,111891,0,26
2026-03-18,TXN-100030,CUST-013,Product F,221,85470.15,55250,0,6
2026-02-17,TXN-100031,CUST-025,Product L,178,142924.56,79922,5,11
2026-04-05,TXN-100032,CUST-010,Product C,221,38723.08,29393,5,49
2025-04-11,TXN-100033,CUST-031,Product A,281,152883.86,131508,0,10
2026-02-21,TXN-100034,CUST-022,Product H,251,70495.35,37399,0,17
2025-01-03,TXN-100035,CUST-055,Product G,140,100983.42,61740,10,27
2026-05-14,TXN-100036,CUST-075,Product C,102,26009.36,19482,0,28
2025-03-04,TXN-100037,CUST-065,Product L,165,11133.95,11385,18,21
2025-06-11,TXN-100038,CUST-077,Product A,265,40217.71,21465,0,7
2025-08-29,TXN-100039,CUST-077,Product G,66,40042.58,32670,25,6
2025-03-25,TXN-100040,CUST-027,Product G,294,115261.54,90258,10,26
2025-11-18,TXN-100041,CUST-059,Product D,140,38457.93,33880,10,15
2025-03-16,TXN-100042,CUST-010,Product A,239,171011.6,85562,0,52
2025-08-07,TXN-100043,CUST-032,Product I,140,29110.19,14980,0,16
2025-10-19,TXN-100044,CUST-079,Product C,229,154795.25,106714,10,30
2025-01-09,TXN-100045,CUST-018,Product K,288,107943.72,55584,0,13
2025-04-29,TXN-100046,CUST-037,Product O,59,36134.59,24780,10,24
2025-08-04,TXN-100047,CUST-065,Product L,180,40459.44,25920,10,20
2025-09-15,TXN-100048,CUST-006,Product O,31,4100.05,2697,10,35
2025-12-08,TXN-100049,CUST-057,Product M,71,51525.78,25986,0,22
2026-03-14,TXN-100050,CUST-070,Product I,9,1059.78,873,0,6
2026-01-14,TXN-100051,CUST-040,Product J,287,50013.09,33005,0,16
2025-02-10,TXN-100052,CUST-046,Product O,188,47803.56,27636,0,29
2026-02-21,TXN-100053,CUST-053,Product J,84,25491.59,13524,0,5
2025-07-03,TXN-100054,CUST-035,Product L,175,141998.3,77000,5,10
2025-04-21,TXN-100055,CUST-059,Product G,24,16928.8,11496,5,16
2025-11-09,TXN-100056,CUST-052,Product N,121,20713.72,18634,5,15
2025-10-13,TXN-100057,CUST-052,Product N,40,19310.61,17400,20,26
2025-12-06,TXN-100058,CUST-075,Product A,64,61804.61,31296,0,13
2025-02-09,TXN-100059,CUST-056,Product B,227,76340.46,49032,12,24
2026-06-08,TXN-100060,CUST-006,Product B,202,149085.08,101000,10,57
2026-03-23,TXN-100061,CUST-047,Product A,271,187082.03,122492,5,18
2025-03-13,TXN-100062,CUST-039,Product K,174,88503.6,62466,0,21
2025-11-13,TXN-100063,CUST-071,Product K,214,59484.96,44298,10,9
2025-07-16,TXN-100064,CUST-079,Product G,199,137183.23,76814,0,23
2025-11-05,TXN-100065,CUST-027,Product G,285,137499.59,132810,10,18
2025-11-26,TXN-100066,CUST-061,Product H,231,84760.24,61446,20,30
2025-06-23,TXN-100067,CUST-043,Product K,48,10576.97,8880,25,7
2025-08-29,TXN-100068,CUST-004,Product K,163,46375.89,25265,0,36
2025-09-08,TXN-100069,CUST-025,Product H,42,12918.81,11466,25,27
2026-01-29,TXN-100070,CUST-014,Product H,209,43716.83,34276,0,29
2026-03-12,TXN-100071,CUST-060,Product D,95,67327.36,42845,20,6
2025-09-13,TXN-100072,CUST-068,Product O,67,18948.33,18291,18,22
2025-11-21,TXN-100073,CUST-055,Product M,231,120211.05,81543,20,22
2026-04-02,TXN-100074,CUST-034,Product O,86,55749.85,36120,18,29
2025-09-11,TXN-100075,CUST-031,Product N,146,93664.4,63072,18,13
2026-03-27,TXN-100076,CUST-070,Product B,151,29360.27,24160,12,7
2025-05-22,TXN-100077,CUST-009,Product C,123,47979.35,29028,5,48
2026-02-22,TXN-100078,CUST-054,Product F,282,111968.12,78396,5,17
2025-01-21,TXN-100079,CUST-039,Product N,299,95768.12,69966,12,29
2026-02-04,TXN-100080,CUST-078,Product N,219,98532.01,68985,20,12
2026-05-15,TXN-100081,CUST-044,Product D,144,50308.27,37872,15,26
2026-02-19,TXN-100082,CUST-080,Product L,89,64722.79,41830,0,22
2025-01-28,TXN-100083,CUST-011,Product O,206,115153.69,70658,0,25
2026-03-15,TXN-100084,CUST-042,Product C,241,32496.31,32053,15,11
2026-04-11,TXN-100085,CUST-054,Product F,177,129687.84,75933,10,13
2025-03-25,TXN-100086,CUST-029,Product H,14,8382.5,5922,12,25
2025-03-12,TXN-100087,CUST-026,Product M,25,11901.98,10650,5,5
2025-06-06,TXN-100088,CUST-028,Product D,69,25086.81,19458,25,19
2025-09-20,TXN-100089,CUST-021,Product M,193,40168.34,24125,0,14
2025-04-21,TXN-100090,CUST-051,Product J,18,4991.56,3582,15,27
2025-07-23,TXN-100091,CUST-077,Product B,129,18613.21,11868,10,30
2025-05-04,TXN-100092,CUST-055,Product M,294,122623.84,129360,20,26
2026-01-15,TXN-100093,CUST-063,Product B,264,119887.33,97944,15,8
2026-03-20,TXN-100094,CUST-067,Product F,240,123498.5,96480,0,25
2025-10-04,TXN-100095,CUST-076,Product J,280,161979.03,122080,15,13
2025-11-27,TXN-100096,CUST-058,Product N,130,105786.64,60450,10,12
2026-04-21,TXN-100097,CUST-024,Product J,199,43599.93,42188,12,20
2025-08-06,TXN-100098,CUST-036,Product F,137,30513.66,29318,25,22
2025-01-11,TXN-100099,CUST-063,Product I,102,9751.81,8466,15,22
2025-09-04,TXN-100100,CUST-003,Product L,248,132056.79,91760,18,37
2025-10-29,TXN-100101,CUST-048,Product D,212,84998.68,83528,25,20
2025-12-19,TXN-100102,CUST-035,Product G,286,71024.18,59774,18,14
2025-09-15,TXN-100103,CUST-069,Product D,66,35461.93,26994,0,29
2025-07-09,TXN-100104,CUST-068,Product D,115,56298.46,48070,25,24
2025-10-17,TXN-100105,CUST-039,Product B,104,26684.52,19864,0,5
2025-05-10,TXN-100106,CUST-063,Product E,28,3039.79,1876,0,8
2025-01-13,TXN-100107,CUST-024,Product J,150,57543.29,42000,12,6
2025-09-16,TXN-100108,CUST-063,Product N,249,38347.22,24402,15,7
2025-02-24,TXN-100109,CUST-011,Product C,81,54013.67,36855,10,12
2025-05-02,TXN-100110,CUST-029,Product I,218,94805.1,76300,25,29
2026-06-20,TXN-100111,CUST-055,Product G,235,65764.43,62510,25,14
2025-03-03,TXN-100112,CUST-034,Product J,55,29805.83,23650,5,26
2025-03-25,TXN-100113,CUST-001,Product C,127,26321.61,16256,0,48
2026-04-07,TXN-100114,CUST-037,Product L,245,49081.89,46305,10,27
2026-04-10,TXN-100115,CUST-026,Product B,124,29614.87,21700,25,18
2025-04-28,TXN-100116,CUST-019,Product I,120,51152.45,44520,10,7
2025-03-03,TXN-100117,CUST-037,Product C,162,74673.32,55728,25,19
2025-05-08,TXN-100118,CUST-065,Product H,160,85517.08,63680,10,22
2026-05-21,TXN-100119,CUST-042,Product H,46,16016.26,15916,15,24
2025-09-14,TXN-100120,CUST-076,Product A,51,11816.08,8007,25,5
2025-10-03,TXN-100121,CUST-067,Product J,25,15803.78,10750,18,25
2026-03-29,TXN-100122,CUST-063,Product O,147,32943.98,19404,15,7
2026-04-27,TXN-100123,CUST-021,Product F,214,63945.1,44940,0,15
2026-02-26,TXN-100124,CUST-071,Product L,258,70256.63,48246,15,6
2026-04-11,TXN-100125,CUST-066,Product B,166,33975.23,28054,15,5
2026-04-19,TXN-100126,CUST-064,Product G,32,5191.96,4352,25,25
2026-03-29,TXN-100127,CUST-037,Product M,31,6146.92,4464,0,19
2026-05-12,TXN-100128,CUST-021,Product B,19,10895.88,6878,5,14
2025-01-15,TXN-100129,CUST-060,Product I,213,24849.99,18531,0,8
2025-06-07,TXN-100130,CUST-062,Product H,154,68706.79,46200,15,20
2025-09-07,TXN-100131,CUST-066,Product H,287,36220.01,32718,25,28
2025-05-20,TXN-100132,CUST-044,Product N,40,11118.89,7240,15,30
2026-06-04,TXN-100133,CUST-075,Product E,6,1463.19,1104,25,26
2026-05-17,TXN-100134,CUST-043,Product N,81,30713.74,21708,12,22
2026-01-22,TXN-100135,CUST-074,Product H,169,102033.05,81965,5,17
2025-08-28,TXN-100136,CUST-049,Product N,215,15526.37,13330,18,17
2025-06-05,TXN-100137,CUST-043,Product H,23,2829.04,2392,25,8
2026-03-27,TXN-100138,CUST-053,Product B,274,86998.13,74802,0,25
2025-06-08,TXN-100139,CUST-080,Product B,245,187244.75,107800,12,27
2026-02-12,TXN-100140,CUST-049,Product K,46,25036.43,21896,20,15
2026-05-15,TXN-100141,CUST-037,Product N,282,26024.01,16356,5,12
2025-04-03,TXN-100142,CUST-057,Product G,55,39844.54,23595,0,10
2025-11-03,TXN-100143,CUST-038,Product O,19,1706.59,1197,0,16
2026-01-19,TXN-100144,CUST-024,Product G,79,15656.58,13035,25,10
2025-06-29,TXN-100145,CUST-075,Product B,200,101326.94,71400,18,9
2025-08-26,TXN-100146,CUST-060,Product H,135,50750.9,37125,0,14
2025-06-11,TXN-100147,CUST-055,Product B,231,89341.46,49896,10,27
2025-09-14,TXN-100148,CUST-014,Product H,159,36757.37,22419,18,12
2026-01-26,TXN-100149,CUST-003,Product J,188,79202.21,62792,10,56
2026-02-10,TXN-100150,CUST-078,Product E,9,5582.39,2961,0,28
2026-05-24,TXN-100151,CUST-046,Product N,151,90519.21,65987,25,12
2025-07-14,TXN-100152,CUST-013,Product J,133,92248.42,51471,0,25
2025-02-10,TXN-100153,CUST-012,Product E,230,21534.98,13110,0,14
2025-12-01,TXN-100154,CUST-047,Product L,217,29575.74,27993,20,21
2026-05-29,TXN-100155,CUST-038,Product O,144,70822.75,66960,18,28
2025-12-13,TXN-100156,CUST-029,Product M,63,34599.61,17577,0,26
2026-02-11,TXN-100157,CUST-002,Product N,290,68643.83,65830,15,43
2025-05-07,TXN-100158,CUST-075,Product H,193,119171.64,74112,10,17
2026-01-16,TXN-100159,CUST-042,Product B,124,32649.41,34844,20,24
2025-08-15,TXN-100160,CUST-053,Product K,37,22489.19,13505,10,8
2025-05-24,TXN-100161,CUST-013,Product A,24,9343.8,4680,0,12
2025-05-19,TXN-100162,CUST-054,Product G,237,74675.88,54273,20,23
2025-06-08,TXN-100163,CUST-079,Product O,217,82352.97,81375,18,18
2025-10-14,TXN-100164,CUST-047,Product A,194,42491.88,29294,5,8
2026-01-12,TXN-100165,CUST-016,Product I,188,18874.04,13348,5,19
2025-04-04,TXN-100166,CUST-007,Product K,113,70425.37,41584,0,60
2025-12-08,TXN-100167,CUST-071,Product D,69,49708.42,30498,0,11
2025-08-10,TXN-100168,CUST-001,Product N,124,34978.08,25792,25,43
2025-05-29,TXN-100169,CUST-004,Product C,281,86331,47208,0,39
2025-01-16,TXN-100170,CUST-034,Product F,126,61235.39,42966,0,6
2025-05-10,TXN-100171,CUST-061,Product L,220,84744,67980,0,19
2026-01-06,TXN-100172,CUST-006,Product I,60,19246.92,16260,25,58
2026-06-18,TXN-100173,CUST-062,Product E,239,173685.32,88191,0,17
2026-03-13,TXN-100174,CUST-010,Product K,60,25134.43,17460,18,37
2025-11-26,TXN-100175,CUST-075,Product J,80,5506.81,5840,25,22
2025-11-29,TXN-100176,CUST-056,Product G,276,60397.43,52440,25,8
2025-04-28,TXN-100177,CUST-058,Product N,287,188143.61,117383,15,12
2026-02-28,TXN-100178,CUST-041,Product F,237,86949.67,57828,0,18
2025-11-17,TXN-100179,CUST-009,Product K,135,50134.69,31185,18,37
2025-03-29,TXN-100180,CUST-017,Product B,226,31557.91,20114,12,22
2025-03-03,TXN-100181,CUST-053,Product J,292,136561.13,95484,0,16
2026-03-10,TXN-100182,CUST-014,Product N,31,8470.04,5797,12,23
2026-06-04,TXN-100183,CUST-045,Product D,84,49266.65,31584,0,22
2026-01-12,TXN-100184,CUST-072,Product B,147,55848.19,48951,15,29
2025-01-27,TXN-100185,CUST-044,Product J,141,8931.36,7614,10,16
2025-01-07,TXN-100186,CUST-019,Product C,78,43849.76,25662,0,28
2025-02-01,TXN-100187,CUST-044,Product B,276,49895.59,41400,18,10
2026-01-14,TXN-100188,CUST-011,Product E,171,109299.24,74727,25,6
2025-06-09,TXN-100189,CUST-055,Product C,30,11548.41,11550,18,20
2026-03-29,TXN-100190,CUST-045,Product G,144,38700.76,21600,0,18
2025-04-24,TXN-100191,CUST-029,Product E,254,134765.38,78486,0,17
2025-02-26,TXN-100192,CUST-033,Product A,109,41309.25,21146,0,14
2025-12-02,TXN-100193,CUST-017,Product B,8,4198.23,2352,0,17
2025-08-24,TXN-100194,CUST-010,Product I,291,204995.59,135606,12,47
2025-02-13,TXN-100195,CUST-074,Product G,14,6548.96,3850,12,18
2026-02-19,TXN-100196,CUST-042,Product L,218,51143.83,40984,0,10
2026-04-17,TXN-100197,CUST-032,Product N,190,24567.46,16150,0,18
2026-02-15,TXN-100198,CUST-029,Product I,45,18111.73,10890,12,15
2025-06-22,TXN-100199,CUST-025,Product B,266,96585.63,96824,20,29
2025-12-24,TXN-100200,CUST-026,Product F,80,14254.66,12800,10,10
2025-06-06,TXN-100201,CUST-060,Product M,43,8977.82,5590,18,29
2026-04-05,TXN-100202,CUST-042,Product K,294,137506.3,108486,25,25
2025-11-20,TXN-100203,CUST-036,Product C,230,23721.19,17020,10,23
2025-02-27,TXN-100204,CUST-005,Product F,264,23567.35,20328,18,36
2026-01-13,TXN-100205,CUST-079,Product N,151,20255.04,11929,0,24
2026-06-04,TXN-100206,CUST-058,Product G,241,131666.48,81217,0,30
2025-07-12,TXN-100207,CUST-058,Product F,248,93832.45,73408,0,8
2025-12-18,TXN-100208,CUST-032,Product L,48,24305.47,14304,0,27
2026-03-25,TXN-100209,CUST-048,Product H,273,123045.82,83811,12,14
2026-02-01,TXN-100210,CUST-009,Product G,178,100519.73,68886,12,45
2025-04-07,TXN-100211,CUST-020,Product I,202,38235.02,37370,25,15
2025-03-25,TXN-100212,CUST-017,Product J,77,20263.3,16863,15,24
2025-03-28,TXN-100213,CUST-017,Product E,291,100817.89,67512,12,26
2026-06-24,TXN-100214,CUST-040,Product B,221,85039.52,66300,12,10
2025-08-08,TXN-100215,CUST-020,Product F,253,46874.2,34914,0,7
2025-10-30,TXN-100216,CUST-005,Product N,56,24181.6,16744,20,56
2025-12-11,TXN-100217,CUST-024,Product O,72,36520.06,24840,0,27
2025-06-19,TXN-100218,CUST-057,Product L,229,20221.76,14198,5,24
2025-10-19,TXN-100219,CUST-061,Product M,234,53707.55,37206,10,11
2026-01-12,TXN-100220,CUST-049,Product K,297,109257.11,78705,10,21
2026-06-25,TXN-100221,CUST-018,Product G,87,39439.86,39846,25,13
2025-02-23,TXN-100222,CUST-067,Product K,251,179142.03,122237,0,8
2025-10-19,TXN-100223,CUST-019,Product B,87,19085.29,15573,20,18
2025-04-04,TXN-100224,CUST-004,Product O,118,72929.34,54044,12,48
2025-02-24,TXN-100225,CUST-048,Product G,262,81729.6,60522,0,12
2025-01-29,TXN-100226,CUST-019,Product F,55,39894.52,25795,12,9
2025-02-09,TXN-100227,CUST-058,Product E,246,148294.82,97416,18,24
2025-01-06,TXN-100228,CUST-071,Product O,45,3015.42,2205,0,28
2026-06-25,TXN-100229,CUST-016,Product G,61,33465.14,26657,10,6
2025-09-02,TXN-100230,CUST-077,Product G,239,17556.77,17208,18,22
2025-01-17,TXN-100231,CUST-038,Product K,268,121346.71,89512,0,18
2025-01-02,TXN-100232,CUST-011,Product J,185,49305.36,30155,0,21
2026-01-05,TXN-100233,CUST-071,Product B,274,110220.48,87132,20,5
2026-02-04,TXN-100234,CUST-033,Product N,245,22594.85,15190,12,28
2025-01-17,TXN-100235,CUST-075,Product F,39,11414.16,8424,0,28
2025-12-07,TXN-100236,CUST-060,Product C,27,9587.82,5940,0,27
2026-05-06,TXN-100237,CUST-005,Product K,98,46239.48,44590,18,44
2025-07-26,TXN-100238,CUST-066,Product A,107,56288.38,52751,10,17
2026-04-30,TXN-100239,CUST-046,Product E,23,14954.57,9775,10,29
2025-02-18,TXN-100240,CUST-056,Product N,174,34419.67,31146,12,17
2026-03-27,TXN-100241,CUST-064,Product O,202,69774.63,43026,18,16
2026-06-16,TXN-100242,CUST-078,Product E,47,24867.27,19364,15,10
2025-10-28,TXN-100243,CUST-040,Product F,57,5863.52,4560,10,19
2026-03-13,TXN-100244,CUST-079,Product C,232,68410.58,50808,12,18
2025-10-09,TXN-100245,CUST-047,Product K,34,3878.37,2652,15,21
2025-06-13,TXN-100246,CUST-005,Product A,78,50521.44,36972,18,39
2025-03-10,TXN-100247,CUST-005,Product D,192,47803.81,43200,25,54
2025-06-07,TXN-100248,CUST-074,Product K,235,78904.16,53815,0,9
2026-01-11,TXN-100249,CUST-004,Product G,165,85127.08,61380,0,58
2025-07-10,TXN-100250,CUST-034,Product H,270,123797.61,64260,0,29
2025-09-24,TXN-100251,CUST-063,Product L,233,62394.06,34717,10,11
2025-05-06,TXN-100252,CUST-012,Product C,42,12102.95,11382,18,30
2025-11-24,TXN-100253,CUST-038,Product K,182,70717.17,73346,20,14
2025-06-11,TXN-100254,CUST-016,Product L,94,58039.79,41924,5,11
2025-05-23,TXN-100255,CUST-048,Product D,257,14881.92,13621,25,19
2025-05-13,TXN-100256,CUST-068,Product J,49,4144.23,3577,18,18
2026-02-24,TXN-100257,CUST-010,Product N,299,25457.55,23023,12,49
2026-04-23,TXN-100258,CUST-076,Product K,269,58526.27,58104,20,10
2025-05-13,TXN-100259,CUST-067,Product G,262,151801.97,126808,0,9
2025-11-08,TXN-100260,CUST-045,Product C,87,32946.61,17835,5,21
2025-10-18,TXN-100261,CUST-036,Product N,45,7964.35,7560,20,9
2025-11-07,TXN-100262,CUST-076,Product J,278,38145.85,24186,0,23
2025-06-07,TXN-100263,CUST-004,Product C,177,161343.51,83367,0,37
2025-02-16,TXN-100264,CUST-054,Product K,300,67073.76,52500,25,24
2025-02-01,TXN-100265,CUST-062,Product H,284,81479.35,53392,10,12
2026-02-20,TXN-100266,CUST-057,Product E,237,31667.88,18249,0,18
2026-05-11,TXN-100267,CUST-041,Product H,109,34190.83,23326,12,28
2025-12-20,TXN-100268,CUST-014,Product G,71,35696.95,30459,20,15
2025-09-05,TXN-100269,CUST-013,Product H,67,18067.19,11792,0,6
2025-10-25,TXN-100270,CUST-042,Product G,219,71986.01,36573,0,23
2025-11-17,TXN-100271,CUST-064,Product D,86,41535.53,25370,18,14
2026-05-25,TXN-100272,CUST-028,Product A,51,18444.44,12291,5,23
2025-12-28,TXN-100273,CUST-037,Product A,30,7109.44,5520,18,22
2025-01-09,TXN-100274,CUST-047,Product N,60,17744.38,15600,10,29
2026-02-17,TXN-100275,CUST-025,Product F,28,6549.84,6860,20,16
2025-10-23,TXN-100276,CUST-036,Product B,202,73814.8,60196,20,24
2025-05-02,TXN-100277,CUST-072,Product C,54,16803.06,13014,12,16
2025-05-28,TXN-100278,CUST-005,Product D,265,102261.17,64925,0,39
2025-12-08,TXN-100279,CUST-066,Product M,247,86923.8,75335,25,9
2025-12-02,TXN-100280,CUST-039,Product O,168,22999.21,20664,25,23
2025-12-11,TXN-100281,CUST-039,Product I,265,97130.58,82680,25,20
2025-01-18,TXN-100282,CUST-075,Product F,174,70603.75,66816,15,14
2025-01-28,TXN-100283,CUST-074,Product J,247,63930.1,43225,25,12
2025-02-22,TXN-100284,CUST-049,Product J,250,37995.17,31750,25,9
2025-09-06,TXN-100285,CUST-057,Product A,298,147473.54,118604,0,15
2026-03-05,TXN-100286,CUST-079,Product C,216,89866.37,84888,20,20
2025-03-05,TXN-100287,CUST-062,Product L,75,26697.22,22875,12,21
2026-01-21,TXN-100288,CUST-070,Product F,93,43330.93,25575,12,16
2025-09-28,TXN-100289,CUST-072,Product J,252,61461.82,34776,10,14
2025-08-19,TXN-100290,CUST-041,Product E,152,66118.34,60800,18,20
2025-12-24,TXN-100291,CUST-049,Product I,145,27192.94,27115,20,17
2025-12-20,TXN-100292,CUST-045,Product M,79,17610.86,14852,0,19
2025-09-20,TXN-100293,CUST-035,Product L,250,39388.38,37250,20,22
2025-10-06,TXN-100294,CUST-032,Product C,60,36013.39,21300,5,6
2025-08-20,TXN-100295,CUST-061,Product K,124,8895.58,8184,12,8
2025-05-21,TXN-100296,CUST-062,Product A,286,42097.41,34320,18,25
2025-07-24,TXN-100297,CUST-012,Product M,152,43181.84,31008,0,25
2025-08-26,TXN-100298,CUST-005,Product I,24,4660.11,3096,0,47
2026-05-23,TXN-100299,CUST-073,Product C,153,79417.23,74664,10,24
2025-04-20,TXN-100300,CUST-068,Product O,176,40014.85,32560,20,20
2025-05-18,TXN-100301,CUST-043,Product N,263,101400.52,73377,0,10
2026-04-15,TXN-100302,CUST-038,Product K,136,63725.48,55352,12,23
2025-07-17,TXN-100303,CUST-012,Product C,212,130736.14,98156,12,17
2025-04-08,TXN-100304,CUST-001,Product C,76,29220.6,21584,5,43
2026-01-28,TXN-100305,CUST-039,Product D,233,119989.76,99025,12,23
2025-01-12,TXN-100306,CUST-060,Product E,189,100592.93,74466,0,14
2025-06-13,TXN-100307,CUST-016,Product G,262,223657.79,130476,10,25
2025-10-30,TXN-100308,CUST-020,Product F,118,28881.99,17936,18,19
2026-01-18,TXN-100309,CUST-032,Product G,286,136948.53,80366,5,26
2025-03-25,TXN-100310,CUST-073,Product I,233,126272.57,72230,0,8
2025-03-05,TXN-100311,CUST-020,Product N,285,89810.64,84930,20,10
2025-12-02,TXN-100312,CUST-075,Product N,271,85520.22,72086,5,20
2025-04-04,TXN-100313,CUST-017,Product O,266,107406.66,71288,18,21
2026-03-02,TXN-100314,CUST-003,Product H,293,29566.96,20217,10,47
2025-09-18,TXN-100315,CUST-006,Product N,6,3372.76,2526,0,48
2025-12-19,TXN-100316,CUST-061,Product L,37,23399.41,11729,0,6
2025-10-21,TXN-100317,CUST-048,Product G,97,45165.66,42001,15,17
2026-04-05,TXN-100318,CUST-018,Product N,198,44767.85,45936,20,25
2025-12-23,TXN-100319,CUST-029,Product B,96,44879.18,30240,0,5
2025-01-24,TXN-100320,CUST-069,Product E,242,139117.43,92928,15,17
2025-08-24,TXN-100321,CUST-015,Product D,240,63420.97,52080,5,6
2026-03-06,TXN-100322,CUST-077,Product J,13,2808.03,2119,0,6
2026-04-03,TXN-100323,CUST-057,Product J,29,7237.51,4785,15,12
2025-08-11,TXN-100324,CUST-030,Product M,33,5203.22,3663,10,28
2025-11-23,TXN-100325,CUST-067,Product J,169,38269.45,27209,0,12
2026-02-28,TXN-100326,CUST-023,Product E,145,12533.21,10295,25,25
2026-03-14,TXN-100327,CUST-068,Product I,258,27739.82,16512,15,15
2026-03-03,TXN-100328,CUST-061,Product G,81,18384.3,15633,20,12
2025-08-19,TXN-100329,CUST-072,Product E,78,54420.15,35256,0,18
2026-03-03,TXN-100330,CUST-027,Product I,276,39708.45,29808,10,15
2025-03-22,TXN-100331,CUST-025,Product O,235,130310.64,111155,20,6
2025-10-02,TXN-100332,CUST-072,Product G,25,11065.86,12175,25,11
2026-05-06,TXN-100333,CUST-028,Product D,175,67003.3,34125,0,11
2025-05-01,TXN-100334,CUST-051,Product L,250,67822.95,41000,5,12
2025-11-26,TXN-100335,CUST-040,Product M,149,47444.1,34866,12,13
2026-01-04,TXN-100336,CUST-041,Product I,259,72846.58,72002,18,11
2026-01-15,TXN-100337,CUST-019,Product F,216,21048.02,13608,5,5
2025-09-25,TXN-100338,CUST-030,Product I,218,46884.54,41638,12,17
2025-09-09,TXN-100339,CUST-033,Product H,286,184224.56,107250,12,29
2026-05-16,TXN-100340,CUST-022,Product L,256,80103.85,70400,12,9
2026-05-16,TXN-100341,CUST-005,Product C,282,163023.91,103776,20,37
2025-02-19,TXN-100342,CUST-009,Product M,8,2416.68,2008,5,57
2025-06-04,TXN-100343,CUST-080,Product A,116,53152.04,34568,0,25
2026-05-10,TXN-100344,CUST-053,Product K,254,11271.46,12192,20,5
2025-01-18,TXN-100345,CUST-065,Product I,145,90188.44,45530,0,27
2026-03-17,TXN-100346,CUST-020,Product M,96,13935.52,9024,20,12
2025-07-16,TXN-100347,CUST-051,Product J,274,76804.94,46306,10,7
2026-01-18,TXN-100348,CUST-039,Product G,240,101770.78,78960,5,26
2025-03-24,TXN-100349,CUST-071,Product K,21,2320.86,1827,15,20
2025-02-27,TXN-100350,CUST-056,Product K,9,3815.27,3591,18,25
2025-12-06,TXN-100351,CUST-030,Product J,53,42202.3,26394,0,11
2026-05-02,TXN-100352,CUST-070,Product E,28,3403.96,2184,10,23
2025-02-03,TXN-100353,CUST-019,Product C,166,11756.28,7968,25,29
2026-02-12,TXN-100354,CUST-073,Product O,44,10391.48,8492,5,17
2025-12-06,TXN-100355,CUST-065,Product G,76,67157.52,33744,0,28
2025-12-21,TXN-100356,CUST-044,Product A,55,19489.02,14465,0,24
2026-02-11,TXN-100357,CUST-063,Product M,172,13101.95,9460,18,12
2025-12-31,TXN-100358,CUST-049,Product I,197,50435.34,51417,25,7
2025-10-30,TXN-100359,CUST-020,Product M,131,57895.35,53055,10,17
2025-06-07,TXN-100360,CUST-001,Product L,204,60023.37,41208,0,44
2026-04-01,TXN-100361,CUST-056,Product F,143,16611.17,13156,0,19
2026-06-09,TXN-100362,CUST-012,Product G,57,2963.42,3021,20,24
2025-11-29,TXN-100363,CUST-011,Product N,202,11042.24,9292,15,28
2025-09-06,TXN-100364,CUST-018,Product J,271,59158.58,34146,0,13
2025-11-05,TXN-100365,CUST-036,Product E,257,29978.02,29298,15,18
2025-11-03,TXN-100366,CUST-064,Product H,44,12770.89,9856,5,24
